41.5448922283 yes 
72.6972940613 yes 
246.80036441 yes 
274.06031312 yes 
814.363326928 yes 
853.166976001 yes 
968.32774017 yes 
1011.60072709 yes 
1075.20612321 yes 
1120.52832295 yes 
1200.20288432 yes 
1305.47363174 yes 
1389.2043167 yes 
1447.37899074 yes 
1483.5483825 yes 
1496.39724959 yes 
1556.13823103 yes 
1660.11590453 yes 
1709.47253883 yes 
1824.20302018 yes 
1958.58739233 yes 
2071.96236005 yes 
2180.16114066 yes 
2209.05749277 yes 
2238.01653363 yes 
2259.69891617 yes 
2354.85091827 yes 
2422.2946124 yes 
2654.33456556 yes 
2891.13400147 yes 
2994.32482811 yes 
3073.63690486 yes 
3125.54160687 yes 
3215.76585536 yes 
3269.89854133 yes 
3379.24331582 yes 
3435.28744889 yes 
3563.12349266 yes 
3604.27643459 yes 
3818.89242571 yes 
3866.31828425 yes 
