476.799190153 yes 
537.521613356 yes 
1462.86417275 yes 
1550.91289034 yes 
1564.45916215 yes 
1604.10219729 yes 
1677.31655317 yes 
1705.93025073 yes 
1786.28596657 yes 
1810.79345337 yes 
1859.13722014 yes 
1947.06406963 yes 
2106.39534486 yes 
2171.39032556 yes 
2196.38269763 yes 
2214.52639028 yes 
2246.47880725 yes 
2290.43788449 yes 
2304.44850808 yes 
2333.07372335 yes 
2497.43440974 yes 
2541.41422788 yes 
2581.80492043 yes 
2691.14386886 yes 
2732.55408165 yes 
2780.56882557 yes 
2966.09095047 yes 
3124.38350881 yes 
3268.27135382 yes 
3424.56206582 yes 
3551.48148182 yes 
3660.62955433 yes 
3689.91074594 yes 
3805.51790777 yes 
3827.01992325 yes 
3887.83733485 yes 
3956.64377675 yes 
3989.85354738 yes 
