190.752338388 yes 
815.099815697 yes 
847.624064602 yes 
952.4 yes 
1006.25819573 yes 
1064.30443225 yes 
1157.74804866 yes 
1195.34089776 yes 
1226.47569095 yes 
1281.77266859 yes 
1413.64586278 yes 
1455.42037999 yes 
1521.7370471 yes 
1553.66964118 yes 
1657.37574504 yes 
1710.9999598 yes 
1845.6 yes 
1857.16264686 yes 
1925.04078777 yes 
1967.28275895 yes 
2029.0632079 yes 
2064.50670922 yes 
2082.53162947 yes 
2135.2417984 yes 
2166.6045358 yes 
2262.79223622 yes 
2287.7684018 yes 
2386.11079063 yes 
2416.54290993 yes 
2442.07213486 yes 
2463.25070246 yes 
2498.07467692 yes 
2554.64539811 yes 
2714.6 yes 
2755.13220794 yes 
2856.72112759 yes 
2884.07509823 yes 
2932.55093807 yes 
3003.73201068 yes 
3055.77501247 yes 
3096.13418107 yes 
3143.62649728 yes 
3241.4 yes 
3260.94023393 yes 
3355.60305748 yes 
3421.0237221 yes 
3460.12869394 yes 
3476.3405398 yes 
3543.51903752 yes 
3660.97064225 yes 
3716.69676895 yes 
3846.61158146 yes 
