e140306_0052.fits.gz 2014-03-06 51306 Object 14:07:27.77 +46:57:03.3 900.0 yes 
e140306_0053.fits.gz 2014-03-06 51306 Object 14:07:27.77 +46:57:03.3 900.0 yes 
e140306_0054.fits.gz 2014-03-06 51306 Object 14:07:27.77 +46:57:03.3 900.0 yes 
e140306_0055.fits.gz 2014-03-06 120659 Object 14:31:55.14 +15:02:27.0 900.0 yes 
e140306_0056.fits.gz 2014-03-06 120659 Object 14:31:55.14 +15:02:27.1 900.0 yes 
e140306_0057.fits.gz 2014-03-06 120659 Object 14:31:55.14 +15:02:27.1 900.0 yes 
e140306_0058.fits.gz 2014-03-06 120659-c Object 14:31:56.88 +15:02:56.8 60.0 yes 
e140306_0059.fits.gz 2014-03-06 120659-c Object 14:31:56.88 +15:02:56.8 60.0 yes 
e140306_0060.fits.gz 2014-03-06 120659-c Object 14:31:56.88 +15:02:56.8 60.0 yes 
e140306_0061.fits.gz 2014-03-06 122277 Object 15:08:10.90 +16:05:27.4 900.0 yes 
e140306_0062.fits.gz 2014-03-06 122277 Object 15:08:10.90 +16:05:27.5 900.0 yes 
e140306_0063.fits.gz 2014-03-06 122277 Object 15:08:10.91 +16:05:27.6 900.0 yes 
e140306_0064.fits.gz 2014-03-06 20700 Object 16:32:14.82 +48:08:25.4 1.0 no 
e140306_0065.fits.gz 2014-03-06 20700 Object 16:32:14.80 +48:08:25.2 900.0 yes 
e140306_0066.fits.gz 2014-03-06 20700 Object 16:32:14.80 +48:08:25.2 900.0 yes 
e140306_0067.fits.gz 2014-03-06 20700 Object 16:32:14.80 +48:08:25.2 900.0 yes 
e140306_0068.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 1.0 yes 
e140306_0069.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 10.0 yes 
e140306_0070.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 10.0 yes 
e140306_0071.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 10.0 yes 
e140306_0072.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 30.0 yes 
e140306_0073.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 30.0 yes 
e140306_0074.fits.gz 2014-03-06 BD33-2642 Object 15:51:59.01 +32:56:59.8 30.0 yes 
e140306_0075.fits.gz 2014-03-06 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 450.0 yes 
e140306_0076.fits.gz 2014-03-06 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 450.0 yes 
e140306_0077.fits.gz 2014-03-06 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 450.0 yes 
e140306_0078.fits.gz 2014-03-06 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 450.0 yes 
e140306_0079.fits.gz 2014-03-06 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 450.0 yes 
e140306_0080.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0081.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0082.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0083.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0084.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0085.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0086.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0087.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
